"",BBNZ1.Q.DE.N.H.0941.A,BBNZ1.Q.DE.N.H.0941.A_FLAGS
"","Germany / National accounts / Unit labour costs per hour / Public services, education and health",
Decimals,2,
Time format code,P3M,
unit,2015=100,
unit multiplier,One,
last update,2022-11-25 08:05:31,
1991-Q1,56.47,
1991-Q2,63.20,
1991-Q3,62.74,
1991-Q4,77.32,
1992-Q1,59.93,
1992-Q2,63.70,
1992-Q3,67.99,
1992-Q4,81.64,
1993-Q1,63.58,
1993-Q2,67.87,
1993-Q3,69.44,
1993-Q4,84.89,
1994-Q1,66.47,
1994-Q2,67.98,
1994-Q3,70.38,
1994-Q4,85.33,
1995-Q1,67.90,
1995-Q2,70.84,
1995-Q3,74.21,
1995-Q4,88.08,
1996-Q1,69.33,
1996-Q2,71.20,
1996-Q3,74.14,
1996-Q4,87.67,
1997-Q1,69.42,
1997-Q2,71.42,
1997-Q3,73.39,
1997-Q4,87.81,
1998-Q1,69.09,
1998-Q2,72.06,
1998-Q3,75.31,
1998-Q4,88.69,
1999-Q1,70.25,
1999-Q2,74.10,
1999-Q3,77.52,
1999-Q4,90.71,
2000-Q1,71.54,
2000-Q2,73.76,
2000-Q3,78.20,
2000-Q4,91.27,
2001-Q1,73.46,
2001-Q2,75.53,
2001-Q3,78.78,
2001-Q4,93.13,
2002-Q1,75.04,
2002-Q2,77.02,
2002-Q3,79.84,
2002-Q4,93.65,
2003-Q1,76.40,
2003-Q2,78.04,
2003-Q3,82.21,
2003-Q4,93.67,
2004-Q1,76.98,
2004-Q2,79.48,
2004-Q3,82.28,
2004-Q4,94.46,
2005-Q1,77.37,
2005-Q2,79.37,
2005-Q3,81.40,
2005-Q4,93.43,
2006-Q1,77.05,
2006-Q2,79.27,
2006-Q3,81.40,
2006-Q4,94.05,
2007-Q1,77.22,
2007-Q2,78.85,
2007-Q3,81.59,
2007-Q4,93.55,
2008-Q1,76.99,
2008-Q2,79.84,
2008-Q3,81.31,
2008-Q4,94.11,
2009-Q1,79.99,
2009-Q2,83.00,
2009-Q3,85.92,
2009-Q4,96.33,
2010-Q1,82.20,
2010-Q2,84.89,
2010-Q3,86.06,
2010-Q4,97.68,
2011-Q1,82.45,
2011-Q2,86.45,
2011-Q3,86.85,
2011-Q4,98.67,
2012-Q1,83.79,
2012-Q2,88.00,
2012-Q3,88.93,
2012-Q4,101.75,
2013-Q1,88.00,
2013-Q2,91.22,
2013-Q3,93.21,
2013-Q4,106.38,
2014-Q1,90.33,
2014-Q2,94.05,
2014-Q3,95.94,
2014-Q4,109.29,
2015-Q1,92.48,
2015-Q2,96.52,
2015-Q3,98.45,
2015-Q4,112.48,
2016-Q1,94.83,
2016-Q2,97.80,
2016-Q3,100.51,
2016-Q4,115.06,
2017-Q1,96.80,
2017-Q2,101.11,
2017-Q3,103.12,
2017-Q4,118.36,
2018-Q1,100.68,
2018-Q2,104.04,
2018-Q3,107.55,
2018-Q4,122.71,
2019-Q1,103.91,
2019-Q2,109.00,
2019-Q3,111.06,
2019-Q4,127.41,
2020-Q1,107.12,
2020-Q2,119.04,
2020-Q3,112.41,
2020-Q4,135.70,
2021-Q1,111.97,
2021-Q2,115.99,
2021-Q3,117.22,
2021-Q4,138.07,
2022-Q1,115.51,
2022-Q2,118.90,
2022-Q3,117.77,
