"",BBNZ1.Q.DE.N.H.0940.A,BBNZ1.Q.DE.N.H.0940.A_FLAGS
"",Germany / National accounts / Unit labour costs per hour / Real estate activities,
Decimals,2,
Time format code,P3M,
unit,2015=100,
unit multiplier,One,
last update,2022-11-25 08:05:31,
1991-Q1,74.65,
1991-Q2,85.14,
1991-Q3,87.50,
1991-Q4,98.85,
1992-Q1,85.82,
1992-Q2,88.75,
1992-Q3,95.44,
1992-Q4,106.93,
1993-Q1,93.11,
1993-Q2,96.62,
1993-Q3,102.01,
1993-Q4,114.69,
1994-Q1,98.65,
1994-Q2,101.42,
1994-Q3,104.75,
1994-Q4,116.13,
1995-Q1,95.15,
1995-Q2,98.84,
1995-Q3,103.04,
1995-Q4,112.81,
1996-Q1,94.09,
1996-Q2,96.02,
1996-Q3,99.46,
1996-Q4,108.76,
1997-Q1,96.07,
1997-Q2,96.57,
1997-Q3,99.90,
1997-Q4,109.38,
1998-Q1,99.36,
1998-Q2,103.03,
1998-Q3,107.39,
1998-Q4,118.70,
1999-Q1,102.75,
1999-Q2,107.95,
1999-Q3,114.12,
1999-Q4,122.18,
2000-Q1,105.18,
2000-Q2,108.11,
2000-Q3,111.61,
2000-Q4,122.52,
2001-Q1,103.25,
2001-Q2,105.45,
2001-Q3,107.18,
2001-Q4,115.30,
2002-Q1,99.64,
2002-Q2,101.71,
2002-Q3,104.95,
2002-Q4,112.09,
2003-Q1,101.77,
2003-Q2,102.79,
2003-Q3,105.44,
2003-Q4,114.24,
2004-Q1,97.11,
2004-Q2,97.89,
2004-Q3,100.37,
2004-Q4,108.77,
2005-Q1,95.86,
2005-Q2,98.93,
2005-Q3,100.77,
2005-Q4,109.10,
2006-Q1,94.13,
2006-Q2,95.02,
2006-Q3,99.68,
2006-Q4,106.76,
2007-Q1,92.49,
2007-Q2,93.22,
2007-Q3,96.90,
2007-Q4,102.67,
2008-Q1,88.83,
2008-Q2,91.38,
2008-Q3,98.08,
2008-Q4,104.99,
2009-Q1,88.29,
2009-Q2,89.86,
2009-Q3,94.25,
2009-Q4,102.66,
2010-Q1,89.65,
2010-Q2,93.74,
2010-Q3,96.51,
2010-Q4,104.28,
2011-Q1,89.21,
2011-Q2,93.08,
2011-Q3,95.18,
2011-Q4,103.64,
2012-Q1,95.04,
2012-Q2,97.07,
2012-Q3,101.19,
2012-Q4,109.50,
2013-Q1,90.19,
2013-Q2,92.86,
2013-Q3,96.25,
2013-Q4,105.56,
2014-Q1,94.65,
2014-Q2,94.25,
2014-Q3,98.62,
2014-Q4,106.12,
2015-Q1,97.67,
2015-Q2,94.06,
2015-Q3,100.83,
2015-Q4,107.32,
2016-Q1,100.41,
2016-Q2,98.00,
2016-Q3,103.77,
2016-Q4,114.58,
2017-Q1,101.16,
2017-Q2,106.61,
2017-Q3,108.30,
2017-Q4,120.08,
2018-Q1,107.38,
2018-Q2,109.96,
2018-Q3,117.81,
2018-Q4,128.93,
2019-Q1,113.54,
2019-Q2,116.76,
2019-Q3,118.48,
2019-Q4,128.52,
2020-Q1,116.08,
2020-Q2,114.64,
2020-Q3,119.98,
2020-Q4,134.01,
2021-Q1,118.94,
2021-Q2,117.42,
2021-Q3,124.88,
2021-Q4,140.24,
2022-Q1,123.00,
2022-Q2,123.54,
2022-Q3,135.76,
