"",BBNZ1.Q.DE.N.H.0933.A,BBNZ1.Q.DE.N.H.0933.A_FLAGS
"",Germany / National accounts / Unit labour costs per hour / Construction,
Decimals,2,
Time format code,P3M,
unit,2015=100,
unit multiplier,One,
last update,2022-11-25 08:05:30,
1991-Q1,62.84,
1991-Q2,57.89,
1991-Q3,56.80,
1991-Q4,61.01,
1992-Q1,66.38,
1992-Q2,60.99,
1992-Q3,61.71,
1992-Q4,64.22,
1993-Q1,72.02,
1993-Q2,65.69,
1993-Q3,65.49,
1993-Q4,71.46,
1994-Q1,75.38,
1994-Q2,67.20,
1994-Q3,67.81,
1994-Q4,72.83,
1995-Q1,79.01,
1995-Q2,71.46,
1995-Q3,72.62,
1995-Q4,77.99,
1996-Q1,90.18,
1996-Q2,73.30,
1996-Q3,74.05,
1996-Q4,79.47,
1997-Q1,89.91,
1997-Q2,72.83,
1997-Q3,73.83,
1997-Q4,77.26,
1998-Q1,85.19,
1998-Q2,76.73,
1998-Q3,74.48,
1998-Q4,76.81,
1999-Q1,89.01,
1999-Q2,77.68,
1999-Q3,73.70,
1999-Q4,74.62,
2000-Q1,87.61,
2000-Q2,78.64,
2000-Q3,75.40,
2000-Q4,76.76,
2001-Q1,90.70,
2001-Q2,80.21,
2001-Q3,76.39,
2001-Q4,77.03,
2002-Q1,91.76,
2002-Q2,79.78,
2002-Q3,75.97,
2002-Q4,77.92,
2003-Q1,97.13,
2003-Q2,82.71,
2003-Q3,76.37,
2003-Q4,78.09,
2004-Q1,96.30,
2004-Q2,81.89,
2004-Q3,78.58,
2004-Q4,77.44,
2005-Q1,103.04,
2005-Q2,81.31,
2005-Q3,77.27,
2005-Q4,78.09,
2006-Q1,103.97,
2006-Q2,84.28,
2006-Q3,77.77,
2006-Q4,76.03,
2007-Q1,98.94,
2007-Q2,87.37,
2007-Q3,82.61,
2007-Q4,80.62,
2008-Q1,101.91,
2008-Q2,86.04,
2008-Q3,83.51,
2008-Q4,83.67,
2009-Q1,113.79,
2009-Q2,96.22,
2009-Q3,88.66,
2009-Q4,88.88,
2010-Q1,108.37,
2010-Q2,87.55,
2010-Q3,84.39,
2010-Q4,86.29,
2011-Q1,104.86,
2011-Q2,91.11,
2011-Q3,86.92,
2011-Q4,85.70,
2012-Q1,107.18,
2012-Q2,95.34,
2012-Q3,91.00,
2012-Q4,92.42,
2013-Q1,117.60,
2013-Q2,97.77,
2013-Q3,91.63,
2013-Q4,94.19,
2014-Q1,108.89,
2014-Q2,97.05,
2014-Q3,91.88,
2014-Q4,95.52,
2015-Q1,113.35,
2015-Q2,100.23,
2015-Q3,94.85,
2015-Q4,95.36,
2016-Q1,115.12,
2016-Q2,97.26,
2016-Q3,96.08,
2016-Q4,98.66,
2017-Q1,115.41,
2017-Q2,103.65,
2017-Q3,98.58,
2017-Q4,100.86,
2018-Q1,118.53,
2018-Q2,105.05,
2018-Q3,101.58,
2018-Q4,103.05,
2019-Q1,126.15,
2019-Q2,116.17,
2019-Q3,108.37,
2019-Q4,112.74,
2020-Q1,124.66,
2020-Q2,117.78,
2020-Q3,115.29,
2020-Q4,107.93,
2021-Q1,137.53,
2021-Q2,119.28,
2021-Q3,116.52,
2021-Q4,120.20,
2022-Q1,138.32,
2022-Q2,130.71,
2022-Q3,127.65,
