"",BBNZ1.Q.DE.N.H.0939.A,BBNZ1.Q.DE.N.H.0939.A_FLAGS
"",Germany / National accounts / Unit labour costs per hour / Financial and insurance activities,
Decimals,2,
Time format code,P3M,
unit,2015=100,
unit multiplier,One,
last update,2022-11-25 08:05:31,
1991-Q1,38.74,
1991-Q2,40.05,
1991-Q3,42.25,
1991-Q4,53.18,
1992-Q1,41.60,
1992-Q2,44.82,
1992-Q3,46.44,
1992-Q4,57.38,
1993-Q1,43.91,
1993-Q2,44.18,
1993-Q3,45.71,
1993-Q4,58.33,
1994-Q1,44.51,
1994-Q2,45.71,
1994-Q3,47.88,
1994-Q4,61.19,
1995-Q1,47.53,
1995-Q2,50.39,
1995-Q3,51.71,
1995-Q4,64.57,
1996-Q1,48.27,
1996-Q2,48.45,
1996-Q3,52.19,
1996-Q4,63.83,
1997-Q1,48.92,
1997-Q2,49.13,
1997-Q3,51.38,
1997-Q4,63.77,
1998-Q1,49.54,
1998-Q2,50.65,
1998-Q3,51.87,
1998-Q4,63.03,
1999-Q1,46.12,
1999-Q2,47.27,
1999-Q3,48.55,
1999-Q4,63.20,
2000-Q1,51.26,
2000-Q2,55.99,
2000-Q3,59.32,
2000-Q4,72.02,
2001-Q1,52.17,
2001-Q2,52.32,
2001-Q3,54.63,
2001-Q4,70.47,
2002-Q1,54.43,
2002-Q2,55.53,
2002-Q3,61.71,
2002-Q4,79.69,
2003-Q1,63.92,
2003-Q2,68.21,
2003-Q3,73.74,
2003-Q4,91.52,
2004-Q1,72.74,
2004-Q2,76.04,
2004-Q3,79.87,
2004-Q4,98.82,
2005-Q1,76.35,
2005-Q2,78.13,
2005-Q3,81.37,
2005-Q4,102.24,
2006-Q1,78.84,
2006-Q2,80.88,
2006-Q3,84.40,
2006-Q4,103.24,
2007-Q1,77.86,
2007-Q2,81.23,
2007-Q3,81.05,
2007-Q4,105.49,
2008-Q1,80.61,
2008-Q2,85.37,
2008-Q3,85.98,
2008-Q4,110.28,
2009-Q1,80.04,
2009-Q2,89.84,
2009-Q3,90.63,
2009-Q4,114.37,
2010-Q1,80.92,
2010-Q2,82.90,
2010-Q3,85.56,
2010-Q4,107.08,
2011-Q1,80.32,
2011-Q2,83.08,
2011-Q3,83.81,
2011-Q4,116.44,
2012-Q1,85.58,
2012-Q2,89.82,
2012-Q3,89.97,
2012-Q4,110.94,
2013-Q1,83.96,
2013-Q2,84.93,
2013-Q3,83.96,
2013-Q4,110.38,
2014-Q1,86.64,
2014-Q2,94.18,
2014-Q3,93.35,
2014-Q4,119.09,
2015-Q1,89.14,
2015-Q2,95.49,
2015-Q3,94.28,
2015-Q4,121.28,
2016-Q1,95.83,
2016-Q2,101.87,
2016-Q3,99.42,
2016-Q4,124.10,
2017-Q1,89.62,
2017-Q2,92.21,
2017-Q3,89.07,
2017-Q4,119.28,
2018-Q1,94.68,
2018-Q2,99.77,
2018-Q3,99.48,
2018-Q4,125.06,
2019-Q1,96.88,
2019-Q2,100.47,
2019-Q3,97.63,
2019-Q4,123.55,
2020-Q1,94.67,
2020-Q2,95.29,
2020-Q3,93.88,
2020-Q4,122.57,
2021-Q1,94.34,
2021-Q2,95.29,
2021-Q3,96.91,
2021-Q4,125.60,
2022-Q1,92.15,
2022-Q2,95.57,
2022-Q3,94.00,
