"",BBNZ1.Q.DE.N.H.0948.A,BBNZ1.Q.DE.N.H.0948.A_FLAGS
"",Germany / National accounts / Unit labour costs per hour / Information and communication,
Decimals,2,
Time format code,P3M,
unit,2015=100,
unit multiplier,One,
last update,2022-11-25 08:05:32,
1991-Q1,111.28,
1991-Q2,129.20,
1991-Q3,127.96,
1991-Q4,141.58,
1992-Q1,118.07,
1992-Q2,130.53,
1992-Q3,127.55,
1992-Q4,144.36,
1993-Q1,119.50,
1993-Q2,128.98,
1993-Q3,123.58,
1993-Q4,141.13,
1994-Q1,127.45,
1994-Q2,134.72,
1994-Q3,127.38,
1994-Q4,144.97,
1995-Q1,128.52,
1995-Q2,136.16,
1995-Q3,130.17,
1995-Q4,143.54,
1996-Q1,129.59,
1996-Q2,134.86,
1996-Q3,126.36,
1996-Q4,137.80,
1997-Q1,118.08,
1997-Q2,122.50,
1997-Q3,116.29,
1997-Q4,130.08,
1998-Q1,107.59,
1998-Q2,115.00,
1998-Q3,109.65,
1998-Q4,122.16,
1999-Q1,104.76,
1999-Q2,112.38,
1999-Q3,106.95,
1999-Q4,117.82,
2000-Q1,106.50,
2000-Q2,112.72,
2000-Q3,109.00,
2000-Q4,121.68,
2001-Q1,103.48,
2001-Q2,109.88,
2001-Q3,108.07,
2001-Q4,117.47,
2002-Q1,102.64,
2002-Q2,107.70,
2002-Q3,106.25,
2002-Q4,115.12,
2003-Q1,113.70,
2003-Q2,120.47,
2003-Q3,116.92,
2003-Q4,127.86,
2004-Q1,107.12,
2004-Q2,112.47,
2004-Q3,111.25,
2004-Q4,121.01,
2005-Q1,113.94,
2005-Q2,117.01,
2005-Q3,115.21,
2005-Q4,124.88,
2006-Q1,104.98,
2006-Q2,111.01,
2006-Q3,108.82,
2006-Q4,116.22,
2007-Q1,95.18,
2007-Q2,103.74,
2007-Q3,100.85,
2007-Q4,108.52,
2008-Q1,96.06,
2008-Q2,104.43,
2008-Q3,102.21,
2008-Q4,108.72,
2009-Q1,100.71,
2009-Q2,106.04,
2009-Q3,102.15,
2009-Q4,108.39,
2010-Q1,98.93,
2010-Q2,107.13,
2010-Q3,104.01,
2010-Q4,112.43,
2011-Q1,91.04,
2011-Q2,99.69,
2011-Q3,96.39,
2011-Q4,105.05,
2012-Q1,92.89,
2012-Q2,102.50,
2012-Q3,99.56,
2012-Q4,109.15,
2013-Q1,90.10,
2013-Q2,98.14,
2013-Q3,95.68,
2013-Q4,104.30,
2014-Q1,91.34,
2014-Q2,98.77,
2014-Q3,96.06,
2014-Q4,103.76,
2015-Q1,92.63,
2015-Q2,102.20,
2015-Q3,99.46,
2015-Q4,105.68,
2016-Q1,93.35,
2016-Q2,102.83,
2016-Q3,98.92,
2016-Q4,108.51,
2017-Q1,92.01,
2017-Q2,103.99,
2017-Q3,101.00,
2017-Q4,107.27,
2018-Q1,91.27,
2018-Q2,102.80,
2018-Q3,102.42,
2018-Q4,107.70,
2019-Q1,96.05,
2019-Q2,108.10,
2019-Q3,106.08,
2019-Q4,111.82,
2020-Q1,98.00,
2020-Q2,110.58,
2020-Q3,108.44,
2020-Q4,113.97,
2021-Q1,100.85,
2021-Q2,116.00,
2021-Q3,114.33,
2021-Q4,121.46,
2022-Q1,106.51,
2022-Q2,120.99,
2022-Q3,122.44,
