"",BBNZ1.Q.DE.N.H.0934.A,BBNZ1.Q.DE.N.H.0934.A_FLAGS
"","Germany / National accounts / Unit labour costs per hour / Wholesale/retail trade, transport and storage, hotel and restaurant services",
Decimals,2,
Time format code,P3M,
unit,2015=100,
unit multiplier,One,
last update,2022-11-25 08:05:31,
1991-Q1,78.96,
1991-Q2,77.35,
1991-Q3,88.26,
1991-Q4,91.42,
1992-Q1,87.78,
1992-Q2,87.03,
1992-Q3,96.42,
1992-Q4,98.03,
1993-Q1,96.92,
1993-Q2,92.39,
1993-Q3,101.16,
1993-Q4,104.91,
1994-Q1,98.64,
1994-Q2,94.09,
1994-Q3,101.72,
1994-Q4,104.04,
1995-Q1,99.34,
1995-Q2,95.35,
1995-Q3,104.35,
1995-Q4,107.14,
1996-Q1,102.51,
1996-Q2,95.49,
1996-Q3,104.15,
1996-Q4,107.04,
1997-Q1,103.31,
1997-Q2,93.73,
1997-Q3,103.10,
1997-Q4,105.39,
1998-Q1,97.22,
1998-Q2,94.38,
1998-Q3,101.74,
1998-Q4,104.76,
1999-Q1,99.72,
1999-Q2,95.81,
1999-Q3,103.54,
1999-Q4,105.21,
2000-Q1,98.12,
2000-Q2,93.89,
2000-Q3,102.81,
2000-Q4,107.11,
2001-Q1,95.64,
2001-Q2,91.73,
2001-Q3,100.80,
2001-Q4,103.12,
2002-Q1,97.37,
2002-Q2,90.30,
2002-Q3,98.34,
2002-Q4,100.92,
2003-Q1,96.60,
2003-Q2,89.88,
2003-Q3,95.05,
2003-Q4,98.69,
2004-Q1,93.32,
2004-Q2,86.62,
2004-Q3,94.16,
2004-Q4,95.88,
2005-Q1,92.69,
2005-Q2,84.07,
2005-Q3,91.47,
2005-Q4,93.35,
2006-Q1,84.99,
2006-Q2,79.54,
2006-Q3,85.99,
2006-Q4,86.45,
2007-Q1,84.00,
2007-Q2,78.62,
2007-Q3,85.25,
2007-Q4,87.73,
2008-Q1,84.21,
2008-Q2,78.66,
2008-Q3,88.25,
2008-Q4,93.58,
2009-Q1,92.40,
2009-Q2,86.78,
2009-Q3,92.92,
2009-Q4,96.09,
2010-Q1,96.94,
2010-Q2,89.60,
2010-Q3,95.62,
2010-Q4,99.43,
2011-Q1,92.78,
2011-Q2,87.76,
2011-Q3,95.40,
2011-Q4,100.08,
2012-Q1,92.04,
2012-Q2,88.79,
2012-Q3,97.22,
2012-Q4,101.79,
2013-Q1,97.67,
2013-Q2,90.77,
2013-Q3,97.85,
2013-Q4,103.18,
2014-Q1,97.95,
2014-Q2,92.66,
2014-Q3,99.69,
2014-Q4,103.56,
2015-Q1,98.26,
2015-Q2,94.23,
2015-Q3,101.12,
2015-Q4,106.01,
2016-Q1,101.14,
2016-Q2,94.35,
2016-Q3,103.63,
2016-Q4,108.37,
2017-Q1,100.59,
2017-Q2,96.29,
2017-Q3,104.70,
2017-Q4,109.13,
2018-Q1,102.86,
2018-Q2,97.72,
2018-Q3,109.22,
2018-Q4,111.86,
2019-Q1,103.75,
2019-Q2,99.16,
2019-Q3,108.04,
2019-Q4,112.83,
2020-Q1,106.68,
2020-Q2,109.08,
2020-Q3,109.67,
2020-Q4,114.16,
2021-Q1,106.61,
2021-Q2,103.01,
2021-Q3,110.86,
2021-Q4,115.48,
2022-Q1,106.30,
2022-Q2,104.90,
2022-Q3,113.35,
