,BBDP1.M.DE.Y.VPI.C.A00000.I15.A,BBDP1.M.DE.Y.VPI.C.A00000.I15.A_FLAGS
,Consumer price index / Germany / Calendar and seasonally adjusted / Overall index,
unit,2015=100 (hypothetically euro-based),
unit multiplier,one,
last update,12/13/2022 8:14,
2018-09,104.4,
2018-10,104.6,
2018-11,104.7,
2018-12,104.4,
2019-01,104.3,
2019-02,104.4,
2019-03,104.6,
2019-04,105.1,
2019-05,105.3,
2019-06,105.3,
2019-07,105.4,
2019-08,105.5,
2019-09,105.6,
2019-10,105.7,
2019-11,105.8,
2019-12,106,
2020-01,106.1,
2020-02,106.2,
2020-03,106,
2020-04,105.9,
2020-05,105.8,
2020-06,106.2,
2020-07,105.4,
2020-08,105.4,
2020-09,105.4,
2020-10,105.6,
2020-11,105.5,
2020-12,105.7,
2021-01,107.1,
2021-02,107.5,
2021-03,107.9,
2021-04,108.1,
2021-05,108.4,
2021-06,108.8,
2021-07,109.2,
2021-08,109.5,
2021-09,109.8,
2021-10,110.4,
2021-11,111.1,
2021-12,111.3,
2022-01,112.5,
2022-02,113,
2022-03,115.7,
2022-04,116,
2022-05,117.1,
2022-06,116.9,
2022-07,117.5,
2022-08,118.2,
2022-09,120.7,
2022-10,121.9,
2022-11,122.3,
,Source: Calendar and seasonal adjustment based on data provided by the Federal Statistical Office,
