"",BBNZ1.Q.DE.N.H.0931.A,BBNZ1.Q.DE.N.H.0931.A_FLAGS
"",Germany / National accounts / Unit labour costs per hour / Production sector (excluding construction),
Decimals,2,
Time format code,P3M,
unit,2015=100,
unit multiplier,One,
last update,2022-11-25 08:05:30,
1991-Q1,79.80,
1991-Q2,86.26,
1991-Q3,86.97,
1991-Q4,94.11,
1992-Q1,84.83,
1992-Q2,93.20,
1992-Q3,95.28,
1992-Q4,102.90,
1993-Q1,92.21,
1993-Q2,97.79,
1993-Q3,97.72,
1993-Q4,103.30,
1994-Q1,92.59,
1994-Q2,95.46,
1994-Q3,94.80,
1994-Q4,100.52,
1995-Q1,91.40,
1995-Q2,98.42,
1995-Q3,97.98,
1995-Q4,105.11,
1996-Q1,96.47,
1996-Q2,101.15,
1996-Q3,98.44,
1996-Q4,104.99,
1997-Q1,97.30,
1997-Q2,96.07,
1997-Q3,94.52,
1997-Q4,101.24,
1998-Q1,92.76,
1998-Q2,99.67,
1998-Q3,95.89,
1998-Q4,106.09,
1999-Q1,97.10,
1999-Q2,101.80,
1999-Q3,97.40,
1999-Q4,103.40,
2000-Q1,93.40,
2000-Q2,99.84,
2000-Q3,95.89,
2000-Q4,103.30,
2001-Q1,92.71,
2001-Q2,100.36,
2001-Q3,96.55,
2001-Q4,104.35,
2002-Q1,97.71,
2002-Q2,100.21,
2002-Q3,96.08,
2002-Q4,103.23,
2003-Q1,96.04,
2003-Q2,101.27,
2003-Q3,95.60,
2003-Q4,101.65,
2004-Q1,93.73,
2004-Q2,96.23,
2004-Q3,92.16,
2004-Q4,98.93,
2005-Q1,93.72,
2005-Q2,93.72,
2005-Q3,90.80,
2005-Q4,96.43,
2006-Q1,87.44,
2006-Q2,92.52,
2006-Q3,88.24,
2006-Q4,92.44,
2007-Q1,85.35,
2007-Q2,92.06,
2007-Q3,86.75,
2007-Q4,92.42,
2008-Q1,87.99,
2008-Q2,91.30,
2008-Q3,89.98,
2008-Q4,104.53,
2009-Q1,105.76,
2009-Q2,111.71,
2009-Q3,100.97,
2009-Q4,105.92,
2010-Q1,92.90,
2010-Q2,96.85,
2010-Q3,89.99,
2010-Q4,94.97,
2011-Q1,88.82,
2011-Q2,97.10,
2011-Q3,89.01,
2011-Q4,97.84,
2012-Q1,88.73,
2012-Q2,100.91,
2012-Q3,92.84,
2012-Q4,102.23,
2013-Q1,96.33,
2013-Q2,104.30,
2013-Q3,96.03,
2013-Q4,103.34,
2014-Q1,93.40,
2014-Q2,104.58,
2014-Q3,94.44,
2014-Q4,102.06,
2015-Q1,95.68,
2015-Q2,106.05,
2015-Q3,95.35,
2015-Q4,102.79,
2016-Q1,94.47,
2016-Q2,100.56,
2016-Q3,94.42,
2016-Q4,102.57,
2017-Q1,91.68,
2017-Q2,102.63,
2017-Q3,92.82,
2017-Q4,99.97,
2018-Q1,92.92,
2018-Q2,103.52,
2018-Q3,97.17,
2018-Q4,105.13,
2019-Q1,96.80,
2019-Q2,109.23,
2019-Q3,101.77,
2019-Q4,107.91,
2020-Q1,100.23,
2020-Q2,124.38,
2020-Q3,102.53,
2020-Q4,104.05,
2021-Q1,98.52,
2021-Q2,107.11,
2021-Q3,103.36,
2021-Q4,108.54,
2022-Q1,102.89,
2022-Q2,112.13,
2022-Q3,104.84,
