"",BBNZ1.Q.DE.N.H.0938.A,BBNZ1.Q.DE.N.H.0938.A_FLAGS
"",Germany / National accounts / Unit labour costs per hour / Business services,
Decimals,2,
Time format code,P3M,
unit,2015=100,
unit multiplier,One,
last update,2022-11-25 08:05:31,
1991-Q1,32.50,
1991-Q2,36.59,
1991-Q3,36.79,
1991-Q4,42.69,
1992-Q1,34.64,
1992-Q2,38.53,
1992-Q3,39.07,
1992-Q4,44.60,
1993-Q1,36.82,
1993-Q2,40.69,
1993-Q3,40.20,
1993-Q4,46.11,
1994-Q1,40.05,
1994-Q2,43.68,
1994-Q3,42.56,
1994-Q4,48.62,
1995-Q1,41.06,
1995-Q2,45.24,
1995-Q3,44.37,
1995-Q4,49.89,
1996-Q1,43.81,
1996-Q2,47.23,
1996-Q3,46.41,
1996-Q4,51.65,
1997-Q1,46.79,
1997-Q2,49.35,
1997-Q3,48.53,
1997-Q4,53.69,
1998-Q1,46.92,
1998-Q2,51.16,
1998-Q3,50.26,
1998-Q4,55.93,
1999-Q1,47.99,
1999-Q2,53.03,
1999-Q3,51.78,
1999-Q4,57.58,
2000-Q1,50.03,
2000-Q2,54.61,
2000-Q3,54.44,
2000-Q4,61.46,
2001-Q1,51.59,
2001-Q2,56.15,
2001-Q3,55.19,
2001-Q4,61.73,
2002-Q1,53.49,
2002-Q2,57.07,
2002-Q3,56.18,
2002-Q4,63.73,
2003-Q1,55.40,
2003-Q2,59.54,
2003-Q3,57.46,
2003-Q4,65.99,
2004-Q1,59.12,
2004-Q2,62.99,
2004-Q3,61.81,
2004-Q4,67.85,
2005-Q1,61.87,
2005-Q2,65.03,
2005-Q3,63.24,
2005-Q4,69.02,
2006-Q1,61.78,
2006-Q2,65.98,
2006-Q3,65.42,
2006-Q4,70.74,
2007-Q1,62.17,
2007-Q2,66.37,
2007-Q3,65.99,
2007-Q4,72.11,
2008-Q1,65.53,
2008-Q2,69.97,
2008-Q3,70.29,
2008-Q4,77.64,
2009-Q1,74.36,
2009-Q2,80.18,
2009-Q3,78.68,
2009-Q4,86.59,
2010-Q1,77.42,
2010-Q2,83.06,
2010-Q3,81.05,
2010-Q4,88.49,
2011-Q1,80.49,
2011-Q2,87.84,
2011-Q3,85.88,
2011-Q4,94.02,
2012-Q1,85.69,
2012-Q2,92.19,
2012-Q3,90.63,
2012-Q4,99.34,
2013-Q1,87.93,
2013-Q2,93.80,
2013-Q3,90.39,
2013-Q4,98.87,
2014-Q1,89.11,
2014-Q2,96.72,
2014-Q3,93.05,
2014-Q4,102.48,
2015-Q1,93.81,
2015-Q2,100.41,
2015-Q3,98.18,
2015-Q4,107.46,
2016-Q1,96.33,
2016-Q2,100.26,
2016-Q3,97.89,
2016-Q4,108.45,
2017-Q1,99.29,
2017-Q2,105.91,
2017-Q3,102.97,
2017-Q4,111.93,
2018-Q1,101.59,
2018-Q2,106.68,
2018-Q3,106.90,
2018-Q4,114.90,
2019-Q1,104.85,
2019-Q2,112.96,
2019-Q3,109.79,
2019-Q4,119.83,
2020-Q1,108.44,
2020-Q2,120.52,
2020-Q3,112.19,
2020-Q4,122.54,
2021-Q1,113.07,
2021-Q2,114.35,
2021-Q3,112.28,
2021-Q4,125.20,
2022-Q1,112.76,
2022-Q2,121.10,
2022-Q3,120.08,
